frame,color,n_inrange,reason
411,yellow,WB,SHAPE_MISS
412,yellow,WB,HIT_BUT_BEST_WRONG
413,yellow,WB,HIT_BUT_BEST_WRONG
416,yellow,WB,HIT_BUT_BEST_WRONG
417,yellow,WB,HIT_BUT_BEST_WRONG
418,yellow,WB,HIT_BUT_BEST_WRONG
419,yellow,WB,HIT_BUT_BEST_WRONG
420,yellow,WB,HIT_BUT_BEST_WRONG
421,yellow,WB,HIT_BUT_BEST_WRONG
424,yellow,WB,HIT_BUT_BEST_WRONG
425,yellow,WB,HIT_BUT_BEST_WRONG
426,yellow,WB,HIT_BUT_BEST_WRONG
427,yellow,WB,HIT_BUT_BEST_WRONG
428,yellow,WB,HIT_BUT_BEST_WRONG
429,yellow,WB,HIT_BUT_BEST_WRONG
432,yellow,WB,HIT_BUT_BEST_WRONG
433,yellow,WB,HIT_BUT_BEST_WRONG
436,blue,128520,TOO_SMALL
441,yellow,WB,HIT_BUT_BEST_WRONG
442,yellow,WB,HIT_BUT_BEST_WRONG
443,blue,0,COLOR_MISS
444,blue,0,COLOR_MISS
452,yellow,WB,HIT_BUT_BEST_WRONG
453,yellow,WB,HIT_BUT_BEST_WRONG
454,yellow,WB,HIT_BUT_BEST_WRONG
455,yellow,WB,HIT_BUT_BEST_WRONG
455,blue,0,COLOR_MISS
456,yellow,WB,HIT_BUT_BEST_WRONG
456,blue,0,COLOR_MISS
457,yellow,WB,HIT_BUT_BEST_WRONG
457,blue,0,COLOR_MISS
458,yellow,WB,HIT_BUT_BEST_WRONG
459,yellow,WB,HIT_BUT_BEST_WRONG
472,yellow,WB,HIT_BUT_BEST_WRONG
473,yellow,WB,HIT_BUT_BEST_WRONG
490,yellow,WB,HIT_BUT_BEST_WRONG
521,yellow,WB,TOO_SMALL
522,yellow,WB,TOO_SMALL
523,yellow,WB,TOO_SMALL
524,yellow,WB,TOO_SMALL
533,blue,WB,HIT_BUT_BEST_WRONG
534,blue,WB,HIT_BUT_BEST_WRONG
543,blue,WB,HIT_BUT_BEST_WRONG
546,red,WB,HIT_BUT_BEST_WRONG
546,blue,WB,HIT_BUT_BEST_WRONG
547,blue,WB,HIT_BUT_BEST_WRONG
548,blue,WB,HIT_BUT_BEST_WRONG
549,blue,WB,HIT_BUT_BEST_WRONG
550,blue,WB,HIT_BUT_BEST_WRONG
551,blue,WB,HIT_BUT_BEST_WRONG
552,blue,WB,HIT_BUT_BEST_WRONG
553,blue,WB,HIT_BUT_BEST_WRONG
554,blue,WB,HIT_BUT_BEST_WRONG
586,yellow,WB,HIT_BUT_BEST_WRONG
613,yellow,WB,HIT_BUT_BEST_WRONG
614,yellow,WB,HIT_BUT_BEST_WRONG
631,yellow,WB,HIT_BUT_BEST_WRONG
632,yellow,WB,HIT_BUT_BEST_WRONG
643,yellow,WB,HIT_BUT_BEST_WRONG
644,yellow,WB,HIT_BUT_BEST_WRONG
645,yellow,WB,HIT_BUT_BEST_WRONG
646,yellow,WB,HIT_BUT_BEST_WRONG
651,yellow,WB,HIT_BUT_BEST_WRONG
652,yellow,WB,HIT_BUT_BEST_WRONG
668,yellow,WB,HIT_BUT_BEST_WRONG
683,yellow,WB,HIT_BUT_BEST_WRONG
684,yellow,WB,HIT_BUT_BEST_WRONG
685,yellow,WB,HIT_BUT_BEST_WRONG
686,yellow,WB,HIT_BUT_BEST_WRONG
687,yellow,WB,HIT_BUT_BEST_WRONG
688,yellow,WB,HIT_BUT_BEST_WRONG
707,blue,WB,HIT_BUT_BEST_WRONG
709,yellow,WB,HIT_BUT_BEST_WRONG
710,yellow,WB,HIT_BUT_BEST_WRONG
733,yellow,WB,HIT_BUT_BEST_WRONG
739,yellow,WB,TOO_SMALL
740,yellow,WB,TOO_SMALL
793,yellow,WB,HIT_BUT_BEST_WRONG
797,yellow,WB,HIT_BUT_BEST_WRONG
798,yellow,WB,HIT_BUT_BEST_WRONG
799,yellow,WB,HIT_BUT_BEST_WRONG
800,yellow,WB,HIT_BUT_BEST_WRONG
801,yellow,WB,HIT_BUT_BEST_WRONG
802,yellow,WB,HIT_BUT_BEST_WRONG
803,yellow,WB,HIT_BUT_BEST_WRONG
804,yellow,WB,HIT_BUT_BEST_WRONG
